Dota 2,1262612
Counter-Strike: Global Offensive,825880
Team Fortress 2,104323
Grand Theft Auto V,364548
ARK: Survival Evolved,84961
Football Manager 2015,81933
Warframe,50298
Clicker Heroes,65882
Sid Meier's Civilization V,80658
The Binding of Isaac: Rebirth,70232
PAYDAY 2,81224
War Thunder,29526
Garry's Mod,73863
The Elder Scrolls V: Skyrim,90870
Unturned,63462
Counter-Strike,44586
Arma 3,48701
Terraria,159175
H1Z1,40335
Football Manager 2016,19496
Left 4 Dead 2,162163
Rocket League,36054
Rust,59079
Trove,58949
Counter-Strike: Source,35767
Euro Truck Simulator 2,22338
AdVenture Capitalist,22998
METAL GEAR SOLID V: THE PHANTOM PAIN,91195
The Witcher 3: Wild Hunt,92267
Total War: ROME II - Emperor Edition,38684
SMITE,20236
Fallout: New Vegas,30309
Europa Universalis IV,24433
Path of Exile,32298
Football Manager 2014,70870
Arma 2: Operation Arrowhead,19175
Cities: Skylines,60386
DayZ,45528
Warhammer: End Times - Vermintide,24700
Mount & Blade: Warband,32828
Borderlands 2,67769
Company of Heroes 2,16645
NBA 2K16,7406
Dungeon Defenders II,18785
7 Days to Die,14859
Spacewar,8715
Heroes & Generals,13410
Anno 2205,7446
Elite: Dangerous,13171
Counter-Strike Nexon: Zombies,10007
Crusaders of the Lost Idols,4068
Call of Duty: Black Ops II - Multiplayer,12175
Farming Simulator 15,18708
Banished,9397
FINAL FANTASY XIV: A Realm Reborn,11946
Time Clickers,7003
Dirty Bomb,13113
Total War: ATTILA,26346
Crusader Kings II,11949
TERA,25260
Age of Empires II: HD Edition,14192
XCOM: Enemy Unknown,21015
Sid Meier's Civilization: Beyond Earth,86892
Warface,13815
Divinity: Original Sin Enhanced Edition,7565
Call of Duty: Modern Warfare 3 - Multiplayer,8864
Pro Evolution Soccer 2016,3933
Empire: Total War,8921
Batman™: Arkham Knight,27406
Dying Light,45871
Middle-earth: Shadow of Mordor,48640
Neverwinter,9613
Don't Starve Together Beta,19731
Kerbal Space Program,19149
Total War: SHOGUN 2,9546
Prison Architect,16185
Insurgency,10637
ArcheAge,6509
DARK SOULS™ II: Scholar of the First Sin,12106
Space Engineers,23888
Hitman: Absolution,4642
The Binding of Isaac,8117
Magic Duels,14586
Dark Souls: Prepare to Die Edition,10173
Undertale,6630
PlanetSide 2,8335
Robocraft,26725
Football Manager 2013,11595
Nobunaga's Ambition: Souzou with Power Up Kit,6851
Mad Max,33356
Call of Duty: Modern Warfare 2 - Multiplayer,6475
Starbound,88481
Fallout 3 - Game of the Year Edition,10401
The Elder Scrolls Online: Tamriel Unlimited,5961
Stronghold Kingdoms,3904
Tales of Zestiria,9696
Tom Clancy's Ghost Recon Phantoms - EU,19158
Fishing Planet,6673
Killing Floor 2,24250
Marvel Heroes 2015,8759
